offset	next_record_offset	type_code	verdict	path	declared_length	metadata_length	payload_count	payload_tags	payload_offsets	payload_lengths	payload_hashes	xattr_names
13374281493	13374282035	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhatDoYouLookLike.patternxml	260	260	1	DATA	13374281753	282	None	
13374282035	13374282574	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhatDoesNameMean.patternxml	259	259	1	DATA	13374282294	280	None	
13374282574	13374283113	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhatIsMyFavorite.patternxml	259	259	1	DATA	13374282833	280	None	
13374283113	13374283658	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhatIsYourFavorite.patternxml	261	261	1	DATA	13374283374	284	None	
13374283658	13374284212	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhatIsYourNationality.patternxml	264	264	1	DATA	13374283922	290	None	
13374284212	13374284757	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhatIsYourStarSign.patternxml	261	261	1	DATA	13374284473	284	None	
13374284757	13374285308	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhatIsYourZodiacYear.patternxml	263	263	1	DATA	13374285020	288	None	
13374285308	13374285835	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhatPresents.patternxml	255	255	1	DATA	13374285563	272	None	
13374285835	13374286371	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhatShouldIWear.patternxml	258	258	1	DATA	13374286093	278	None	
13374286371	13374286951	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhatShouldIWearForCarnival.patternxml	280	280	1	DATA	13374286651	300	None	
13374286951	13374287511	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhatSiriLovesAboutEarth.patternxml	266	266	1	DATA	13374287217	294	None	
13374287511	13374288023	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhatsUp.patternxml	250	250	1	DATA	13374287761	262	None	
